id_action,action,categorie_beneficiaire_action
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Citoyens"
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Entreprises (grandes entreprises)"
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Entreprises (petites ou moyennes entreprises)"
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Milieu municipal"
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Organismes à but non lucratif"
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","Citoyens"
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","Entreprises (grandes entreprises)"
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","Entreprises (petites ou moyennes entreprises)"
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","Milieu municipal"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Citoyens"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Entreprises (grandes entreprises)"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Entreprises (petites ou moyennes entreprises)"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Milieu municipal"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Organismes à but non lucratif"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Organismes à but non lucratif"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Milieu municipal"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Syndicats de copropriété"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Entreprises (grandes entreprises)"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Citoyens"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Entreprises (petites ou moyennes entreprises)"
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","Entreprises (grandes entreprises)"
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","Entreprises (petites ou moyennes entreprises)"
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","Milieu municipal"
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","Organismes à but non lucratif"
1011.0209,"1.1.1.2e. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge sur route et hors réseau","Milieu municipal"
1011.0209,"1.1.1.2e. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge sur route et hors réseau","Ministères et organismes gouvernementaux"
1011.0211,"1.1.1.2f. Appuyer l'implantation des bornes dans les résidences, les entreprises et sur le réseau routier - Appui à l'implantation  de BRCC et de bornes de niveau 2","Entreprises (petites ou moyennes entreprises)"
1011.0211,"1.1.1.2f. Appuyer l'implantation des bornes dans les résidences, les entreprises et sur le réseau routier - Appui à l'implantation  de BRCC et de bornes de niveau 2","Hydro-Québec"
1011.0211,"1.1.1.2f. Appuyer l'implantation des bornes dans les résidences, les entreprises et sur le réseau routier - Appui à l'implantation  de BRCC et de bornes de niveau 2","Entreprises (grandes entreprises)"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","Entreprises (grandes entreprises)"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","Entreprises (petites ou moyennes entreprises)"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","EXO, le réseau de transport métropolitain"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","Les sociétés de transport en commun"
1011.0401,"1.1.1.4a. Appuyer l'électrification des autobus urbains","Milieu municipal"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Transporteurs scolaires à contrat"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Centre de services scolaires"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Entreprises (petites ou moyennes entreprises)"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Entreprises propriétaires d'installations fournissant un service de recharge"
1011.0403,"1.1.1.4b. Appuyer l'électrification des autobus scolaires","Établissements d'enseignement privé"
1011.0405,"1.1.1.4c. Appuyer l'électrification des autobus interurbains et privés","Entreprises (petites ou moyennes entreprises)"
1011.0405,"1.1.1.4c. Appuyer l'électrification des autobus interurbains et privés","Organismes à but non lucratif"
1011.0405,"1.1.1.4c. Appuyer l'électrification des autobus interurbains et privés","Entreprises (grandes entreprises)"
1012.0101,"1.1.2.1a. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Écocamionnage","Entreprises (grandes entreprises)"
1012.0101,"1.1.2.1a. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Écocamionnage","Entreprises (petites ou moyennes entreprises)"
1012.0101,"1.1.2.1a. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Écocamionnage","Milieu municipal"
1012.0101,"1.1.2.1a. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Écocamionnage","Organismes à but non lucratif"
1012.0103,"1.1.2.1b. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Transportez-vert","Organismes à but non lucratif"
1012.0103,"1.1.2.1b. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Transportez-vert","Entreprises (grandes entreprises)"
1012.0103,"1.1.2.1b. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Transportez-vert","Entreprises (petites ou moyennes entreprises)"
1012.0103,"1.1.2.1b. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Transportez-vert","Milieu municipal"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Administrations portuaires"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Entreprises (grandes entreprises)"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Entreprises (petites ou moyennes entreprises)"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Milieu municipal"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Organismes à but non lucratif"
1012.0107,"1.1.2.1d. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Accélérer l'implantation de recharge publique pour le transport lourd le long des principaux axes routiers","Ministères et organismes gouvernementaux"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","OBNL"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Entreprises (petites ou moyennes entreprises)"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Milieu municipal"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Communautés autochtones"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Citoyens"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Entreprises (grandes entreprises)"
1013.04,"1.1.3.4. Appuyer l'électrification des véhicules d’urgence et autres véhicules","Entreprises (grandes entreprises)"
1013.04,"1.1.3.4. Appuyer l'électrification des véhicules d’urgence et autres véhicules","Entreprises (petites ou moyennes entreprises)"
1021.01,"1.2.1.1. Appuyer des projets structurants de transport collectif électrique","Entreprises (grandes entreprises)"
1021.01,"1.2.1.1. Appuyer des projets structurants de transport collectif électrique","Entreprises (petites ou moyennes entreprises)"
1021.01,"1.2.1.1. Appuyer des projets structurants de transport collectif électrique","Milieu municipal"
1021.0201,"1.2.1.2a. Accroître l'offre de services de transport collectif  - Programme d'aide au développement du transport collectif (PADTC - offre de service)","Organismes à but non lucratif"
1021.0201,"1.2.1.2a. Accroître l'offre de services de transport collectif  - Programme d'aide au développement du transport collectif (PADTC - offre de service)","Milieu municipal"
1021.0201,"1.2.1.2a. Accroître l'offre de services de transport collectif  - Programme d'aide au développement du transport collectif (PADTC - offre de service)","Entreprises (grandes entreprises)"
1021.0201,"1.2.1.2a. Accroître l'offre de services de transport collectif  - Programme d'aide au développement du transport collectif (PADTC - offre de service)","Entreprises (petites ou moyennes entreprises)"
1021.03,"1.2.1.3. Développer le transport actif en milieu urbanisé","Communautés autochtones"
1021.03,"1.2.1.3. Développer le transport actif en milieu urbanisé","Entreprises (petites ou moyennes entreprises)"
1021.03,"1.2.1.3. Développer le transport actif en milieu urbanisé","Milieu municipal"
1021.03,"1.2.1.3. Développer le transport actif en milieu urbanisé","Organismes à but non lucratif"
1021.04,"1.2.1.4. Soutenir le développement de la mobilité partagée","Milieu municipal"
1021.04,"1.2.1.4. Soutenir le développement de la mobilité partagée","Organismes à but non lucratif"
1032.01,"1.3.2.1. Appuyer les entreprises dans la mise en place du télétravail","Entreprises (petites ou moyennes entreprises)"
1041.01,"1.4.1.1. Définir l’allocation gratuite post- 2023, dans le cadre du SPEDE","Entreprises (grands émetteurs)"
1041.02,"1.4.1.2. Mettre en place une mesure d'aide transitoire pour la décarbonisation du secteur industriel québécois","Entreprises (grands émetteurs)"
1041.03,"1.4.1.3. Mettre en place un nouveau mécanisme d’appui à la décarbonisation pour les grands émetteurs en lien avec la diminution des allocations gratuites du SPEDE, dès 2024","Entreprises (grands émetteurs)"
1041.04,"1.4.1.4. Instaurer un groupe d’intervention GES pour les grands émetteurs","Ministères et organismes gouvernementaux"
1042.0101,"1.4.2.1a. Appuyer la réalisation de projets en efficacité énergétique et en conversion énergétique - Programme ÉcoPerformance Industrie (standard)","Organismes à but non lucratif"
1042.0101,"1.4.2.1a. Appuyer la réalisation de projets en efficacité énergétique et en conversion énergétique - Programme ÉcoPerformance Industrie (standard)","Milieu municipal"
1042.0101,"1.4.2.1a. Appuyer la réalisation de projets en efficacité énergétique et en conversion énergétique - Programme ÉcoPerformance Industrie (standard)","Entreprises (petites ou moyennes entreprises)"
1042.0101,"1.4.2.1a. Appuyer la réalisation de projets en efficacité énergétique et en conversion énergétique - Programme ÉcoPerformance Industrie (standard)","Entreprises (grandes entreprises)"
1042.0103,"1.4.2.1b. Appuyer la réalisation de projets en efficacité énergétique et en conversion énergétique - ÉcoPerformance (Grands Émetteurs)","Entreprises (grands émetteurs)"
1042.0105,"1.4.2.1c. Appuyer la réalisation de projets en efficacité énergétique et en conversion énergétique - Programme Bioénergies (standard)","Entreprises (grandes entreprises)"
1042.0105,"1.4.2.1c. Appuyer la réalisation de projets en efficacité énergétique et en conversion énergétique - Programme Bioénergies (standard)","Entreprises (petites ou moyennes entreprises)"
1042.0105,"1.4.2.1c. Appuyer la réalisation de projets en efficacité énergétique et en conversion énergétique - Programme Bioénergies (standard)","Milieu municipal"
1042.0105,"1.4.2.1c. Appuyer la réalisation de projets en efficacité énergétique et en conversion énergétique - Programme Bioénergies (standard)","Organismes à but non lucratif"
1042.02,"1.4.2.2. Lancer un défi GES pour les grands émetteurs industriels (appel à projets)","Entreprises (grands émetteurs)"
1051.01,"1.5.1.1. Soutenir la R-D dans le secteur industriel - Technoclimat (Grande Industrie)","Organismes à but non lucratif"
1051.01,"1.5.1.1. Soutenir la R-D dans le secteur industriel - Technoclimat (Grande Industrie)","Entreprises (petites ou moyennes entreprises)"
1051.01,"1.5.1.1. Soutenir la R-D dans le secteur industriel - Technoclimat (Grande Industrie)","Entreprises (grandes entreprises)"
1051.01,"1.5.1.1. Soutenir la R-D dans le secteur industriel - Technoclimat (Grande Industrie)","Entreprises (grands émetteurs)"
1051.02,"1.5.1.2. Soutenir la R&D et la mise à l’essai de technologies de rupture pour réduire les émissions des procédés industriels ou séquestrer chimiquement ou géologiquement le carbone","Entreprises (grands émetteurs)"
1051.02,"1.5.1.2. Soutenir la R&D et la mise à l’essai de technologies de rupture pour réduire les émissions des procédés industriels ou séquestrer chimiquement ou géologiquement le carbone","Milieu de la recherche scientifique"
1061.01,"1.6.1.1. Soutenir la récupération et la valorisation de la chaleur","Promoteurs immobiliers"
1061.01,"1.6.1.1. Soutenir la récupération et la valorisation de la chaleur","Communautés autochtones"
1061.01,"1.6.1.1. Soutenir la récupération et la valorisation de la chaleur","Entreprises (grandes entreprises)"
1061.01,"1.6.1.1. Soutenir la récupération et la valorisation de la chaleur","Entreprises (grands émetteurs)"
1061.01,"1.6.1.1. Soutenir la récupération et la valorisation de la chaleur","Milieu municipal"
1061.01,"1.6.1.1. Soutenir la récupération et la valorisation de la chaleur","Ministères et organismes gouvernementaux"
1061.01,"1.6.1.1. Soutenir la récupération et la valorisation de la chaleur","Producteurs serricoles"
1062.01,"1.6.2.1. Soutenir la conversion vers l’électricité dans les bâtiments résidentiels - Chauffez vert","Entreprises (petites ou moyennes entreprises)"
1062.01,"1.6.2.1. Soutenir la conversion vers l’électricité dans les bâtiments résidentiels - Chauffez vert","Citoyens"
1062.02,"1.6.2.2. Soutenir la conversion vers l’électricité et d'autres énergies renouvelables dans les bâtiments commerciaux et institutionnels - ÉcoPerformance (Bâtiments)","Entreprises (grandes entreprises)"
1062.02,"1.6.2.2. Soutenir la conversion vers l’électricité et d'autres énergies renouvelables dans les bâtiments commerciaux et institutionnels - ÉcoPerformance (Bâtiments)","Entreprises (petites ou moyennes entreprises)"
1062.02,"1.6.2.2. Soutenir la conversion vers l’électricité et d'autres énergies renouvelables dans les bâtiments commerciaux et institutionnels - ÉcoPerformance (Bâtiments)","Milieu municipal"
1062.02,"1.6.2.2. Soutenir la conversion vers l’électricité et d'autres énergies renouvelables dans les bâtiments commerciaux et institutionnels - ÉcoPerformance (Bâtiments)","Organismes à but non lucratif"
1062.03,"1.6.2.3. Soutenir la conversion du gaz naturel vers l'électricité, et la biénergie pour la gestion de la pointe","Citoyens"
1062.03,"1.6.2.3. Soutenir la conversion du gaz naturel vers l'électricité, et la biénergie pour la gestion de la pointe","Entreprises (petites ou moyennes entreprises)"
1062.05,"1.6.2.5. Réaliser des projets pour améliorer la gestion de la pointe électrique","Ministères et organismes gouvernementaux"
1063.02,"1.6.3.2. Récupérer les mousses isolantes des gros électroménagers pour éviter la libération d’halocarbures","GoRecycle"
1063.03,"1.6.3.3. Appuyer la conversion des systèmes d’halocarbures vers des alternatives moins émissives - ÉcoPerformance (Halocarbures)","Organismes à but non lucratif"
1063.03,"1.6.3.3. Appuyer la conversion des systèmes d’halocarbures vers des alternatives moins émissives - ÉcoPerformance (Halocarbures)","Milieu municipal"
1063.03,"1.6.3.3. Appuyer la conversion des systèmes d’halocarbures vers des alternatives moins émissives - ÉcoPerformance (Halocarbures)","Entreprises (grandes entreprises)"
1063.03,"1.6.3.3. Appuyer la conversion des systèmes d’halocarbures vers des alternatives moins émissives - ÉcoPerformance (Halocarbures)","Entreprises (petites ou moyennes entreprises)"
1063.03,"1.6.3.3. Appuyer la conversion des systèmes d’halocarbures vers des alternatives moins émissives - ÉcoPerformance (Halocarbures)","Milieu de la recherche scientifique"
1071.01,"1.7.1.1. Moderniser les éléments du Code de construction et les autres normes et réglementations relatives à l’énergie, aux matériaux et à la résilience des bâtiments neufs et existants","entrepreneurs"
1071.01,"1.7.1.1. Moderniser les éléments du Code de construction et les autres normes et réglementations relatives à l’énergie, aux matériaux et à la résilience des bâtiments neufs et existants","concepteurs"
1071.01,"1.7.1.1. Moderniser les éléments du Code de construction et les autres normes et réglementations relatives à l’énergie, aux matériaux et à la résilience des bâtiments neufs et existants","constructeurs-propriétaires"
1071.01,"1.7.1.1. Moderniser les éléments du Code de construction et les autres normes et réglementations relatives à l’énergie, aux matériaux et à la résilience des bâtiments neufs et existants","propriétaires et exploitants"
1072.01,"1.7.2.1. Lever les barrières à l'utilisation du bois dans la construction","Organismes à but non lucratif"
1072.01,"1.7.2.1. Lever les barrières à l'utilisation du bois dans la construction","Milieu de la recherche scientifique"
1072.02,"1.7.2.2. Soutenir des projets de démonstration d’utilisation du bois dans la construction multirésidentielle et commerciale - Programme d'intégration du matériau bois dans la construction","Organismes à but non lucratif"
1072.02,"1.7.2.2. Soutenir des projets de démonstration d’utilisation du bois dans la construction multirésidentielle et commerciale - Programme d'intégration du matériau bois dans la construction","Milieu municipal"
1072.02,"1.7.2.2. Soutenir des projets de démonstration d’utilisation du bois dans la construction multirésidentielle et commerciale - Programme d'intégration du matériau bois dans la construction","Entreprises (grandes entreprises)"
1072.02,"1.7.2.2. Soutenir des projets de démonstration d’utilisation du bois dans la construction multirésidentielle et commerciale - Programme d'intégration du matériau bois dans la construction","Entreprises (petites ou moyennes entreprises)"
1081.01,"1.8.1.1a. Accompagner les entreprises bioalimentaires dans l'intégration des enjeux climatiques - Programme d’appui à la lutte contre les changements climatiques dans le secteur bioalimentaire","centre de diffusion d'information"
1081.01,"1.8.1.1a. Accompagner les entreprises bioalimentaires dans l'intégration des enjeux climatiques - Programme d’appui à la lutte contre les changements climatiques dans le secteur bioalimentaire","Entreprises (petites ou moyennes entreprises)"
1081.01,"1.8.1.1a. Accompagner les entreprises bioalimentaires dans l'intégration des enjeux climatiques - Programme d’appui à la lutte contre les changements climatiques dans le secteur bioalimentaire","établissement d'enseignement"
1081.01,"1.8.1.1a. Accompagner les entreprises bioalimentaires dans l'intégration des enjeux climatiques - Programme d’appui à la lutte contre les changements climatiques dans le secteur bioalimentaire","organisme privé"
1081.01,"1.8.1.1a. Accompagner les entreprises bioalimentaires dans l'intégration des enjeux climatiques - Programme d’appui à la lutte contre les changements climatiques dans le secteur bioalimentaire","Organismes à but non lucratif"
1081.0103,"1.8.1.1b. Accompagner les entreprises bioalimentaires dans l'intégration des enjeux climatiques - Secteur de la transformation alimentaire","Organismes à but non lucratif"
1082.01,"1.8.2.1. Déployer des interventions structurées pour optimiser la fertilisation azotée dans les cultures","Organismes à but non lucratif"
1082.01,"1.8.2.1. Déployer des interventions structurées pour optimiser la fertilisation azotée dans les cultures","Organisme privé"
1082.01,"1.8.2.1. Déployer des interventions structurées pour optimiser la fertilisation azotée dans les cultures","Milieu de la recherche scientifique"
1082.01,"1.8.2.1. Déployer des interventions structurées pour optimiser la fertilisation azotée dans les cultures","Entreprises (petites ou moyennes entreprises)"
1083.01,"1.8.3.1. Développer, opérationnaliser et élargir les pratiques et les technologies qui réduisent les émissions de méthane des élevages","Entreprises (petites ou moyennes entreprises)"
1083.01,"1.8.3.1. Développer, opérationnaliser et élargir les pratiques et les technologies qui réduisent les émissions de méthane des élevages","Milieu de la recherche scientifique"
1083.01,"1.8.3.1. Développer, opérationnaliser et élargir les pratiques et les technologies qui réduisent les émissions de méthane des élevages","Organisme privé"
1083.01,"1.8.3.1. Développer, opérationnaliser et élargir les pratiques et les technologies qui réduisent les émissions de méthane des élevages","Organismes à but non lucratif"
1084.01,"1.8.4.1. Appuyer l'extension du réseau triphasé","Citoyens"
1084.01,"1.8.4.1. Appuyer l'extension du réseau triphasé","Entreprises (petites ou moyennes entreprises)"
1092.01,"1.9.2.1. Optimiser la gestion des matières organiques des industries, commerces et institutions","Industries, commerces et institutions (ICI)"
1092.02,"1.9.2.2. Valoriser la matière organique collectée en appuyant la construction d'installations de compostage et de biométhanisation","Milieu municipal"
1101.01,"1.10.1.1. Accompagner les communautés hors réseau dans la planification et la mise en œuvre de projets d’énergie renouvelable","Organismes à but non lucratif"
1101.01,"1.10.1.1. Accompagner les communautés hors réseau dans la planification et la mise en œuvre de projets d’énergie renouvelable","Sociétés en commandites"
1101.01,"1.10.1.1. Accompagner les communautés hors réseau dans la planification et la mise en œuvre de projets d’énergie renouvelable","Milieu municipal"
1101.01,"1.10.1.1. Accompagner les communautés hors réseau dans la planification et la mise en œuvre de projets d’énergie renouvelable","Communautés autochtones"
1101.01,"1.10.1.1. Accompagner les communautés hors réseau dans la planification et la mise en œuvre de projets d’énergie renouvelable","Hydro-Québec"
1101.01,"1.10.1.1. Accompagner les communautés hors réseau dans la planification et la mise en œuvre de projets d’énergie renouvelable","Entreprises (petites ou moyennes entreprises)"
1101.01,"1.10.1.1. Accompagner les communautés hors réseau dans la planification et la mise en œuvre de projets d’énergie renouvelable","Milieu de la recherche scientifique"
1111.01,"1.11.1.1. Outiller le gouvernement et le monde municipal pour conserver les réservoirs de carbone prioritaires","Milieu de la recherche scientifique"
1111.01,"1.11.1.1. Outiller le gouvernement et le monde municipal pour conserver les réservoirs de carbone prioritaires","Milieu municipal"
1111.01,"1.11.1.1. Outiller le gouvernement et le monde municipal pour conserver les réservoirs de carbone prioritaires","Ministères et organismes gouvernementaux"
1121.0101,"1.12.1.1. Boiser et reboiser en forêts publiques et privées pour atténuer les changements climatiques","Entreprises (petites ou moyennes entreprises)"
1121.0101,"1.12.1.1. Boiser et reboiser en forêts publiques et privées pour atténuer les changements climatiques","Milieu de la recherche scientifique"
1121.0101,"1.12.1.1. Boiser et reboiser en forêts publiques et privées pour atténuer les changements climatiques","Milieu municipal"
1121.0101,"1.12.1.1. Boiser et reboiser en forêts publiques et privées pour atténuer les changements climatiques","Ministères et organismes gouvernementaux"
1121.02,"1.12.1.2. Développer un outil permettant de faire un bilan climatique des stratégies d’aménagement forestier et des produits du bois en découlant","Ministères et organismes gouvernementaux"
1131.0101,"1.13.1.1a. Appuyer le développement des connaissances sur le potentiel de contribution du secteur forestier et des milieux naturels à l’atténuation des changements climatiques  - milieux humides","Milieu de la recherche scientifique"
1131.0105,"1.13.1.1b. Appuyer le développement des connaissances sur le potentiel de contribution du secteur forestier et des milieux naturels à l’atténuation des changements climatiques  - forêts","Milieu de la recherche scientifique"
1131.0105,"1.13.1.1b. Appuyer le développement des connaissances sur le potentiel de contribution du secteur forestier et des milieux naturels à l’atténuation des changements climatiques  - forêts","Ministères et organismes gouvernementaux"
1131.0105,"1.13.1.1b. Appuyer le développement des connaissances sur le potentiel de contribution du secteur forestier et des milieux naturels à l’atténuation des changements climatiques  - forêts","Entreprises (petites ou moyennes entreprises)"
1131.0105,"1.13.1.1b. Appuyer le développement des connaissances sur le potentiel de contribution du secteur forestier et des milieux naturels à l’atténuation des changements climatiques  - forêts","Organismes à but non lucratif"
2011.01,"2.1.1.1a. Favoriser le développement de produits innovants dans l’industrie des véhicules électriques - Soutien stratégique à des entreprises","Entreprises (grandes entreprises)"
2011.01,"2.1.1.1a. Favoriser le développement de produits innovants dans l’industrie des véhicules électriques - Soutien stratégique à des entreprises","Entreprises (petites ou moyennes entreprises)"
2011.0103,"2.1.1.1b. Favoriser le développement de produits innovants dans l'industrie des véhicules électriques -  Feuille de route véhicules électriques","Organismes à but non lucratif"
2011.0105,"2.1.1.1c. Favoriser le développement de produits innovants dans l'industrie des véhicules électriques - Projets mobilisateurs","Entreprises (grandes entreprises)"
